"TIMESTAMP","RELATIVE_HUMIDITY","TEMPERATURE","PARENT_ID"
"2011-05-08 16:31:00",87,4.8,2
"2011-05-08 17:31:00",87,4.8,2
"2011-05-08 18:31:00",87,4.8,2
"2011-05-08 19:31:00",86,4.8,2
"2011-05-08 20:31:00",86,4.8,2
"2011-05-08 21:31:00",86,4.8,2
"2011-05-08 22:31:00",86,4.8,2
"2011-05-08 23:31:00",86,4.8,2
"2011-05-09 00:31:00",86,4.8,2
"2011-05-09 01:31:00",86,4.8,2
"2011-05-09 02:31:00",86,4.8,2
"2011-05-09 03:32:00",87,4.8,2
"2011-05-09 04:32:00",87,4.8,2
"2011-05-09 05:32:00",87,4.8,2
"2011-05-09 06:32:00",87,4.8,2
"2011-05-09 07:32:00",87,4.8,2
"2011-05-09 08:32:00",87,4.8,2
