 num     #instances         #bytes  class name (module)
 272:            41           2624  java.util.zip.Inflater (java.base@11.0.2)
 273:           106           2544  java.util.ImmutableCollections$List12 (java.base@11.0.2)
 274:            45           2520  adams.gui.flow.tree.Node
 275:             7           2512  [Lsun.font.PhysicalStrike; (java.desktop@11.0.2)
 276:           104           2496  javax.swing.AbstractButton$ButtonActionPropertyChangeListener (java.desktop@11.0.2)
 277:           104           2496  javax.swing.plaf.ComponentInputMapUIResource (java.desktop@11.0.2)
 278:            26           2496  javax.swing.plaf.basic.BasicMenuUI (java.desktop@11.0.2)
 279:            61           2440  jdk.internal.reflect.UnsafeQualifiedStaticIntegerFieldAccessorImpl (java.base@11.0.2)
 280:             7           2408  javax.swing.plaf.metal.MetalSplitPaneDivider (java.desktop@11.0.2)
 281:            60           2400  com.mysql.jdbc.MysqlCharset
 282:            50           2400  java.util.WeakHashMap (java.base@11.0.2)
 283:            27           2376  java.util.regex.Pattern (java.base@11.0.2)
 284:            37           2368  javax.swing.plaf.metal.MetalScrollPaneUI (java.desktop@11.0.2)
 285:             5           2360  javax.swing.plaf.metal.MetalSplitPaneDivider$1 (java.desktop@11.0.2)
 286:             5           2360  javax.swing.plaf.metal.MetalSplitPaneDivider$2 (java.desktop@11.0.2)
 287:            42           2352  adams.core.option.DoubleOption
 288:            48           2304  sun.swing.ImageIconUIResource (java.desktop@11.0.2)
 289:            57           2280  java.lang.invoke.MethodHandleImpl$AsVarargsCollector (java.base@11.0.2)
 290:            47           2256  sun.java2d.loops.MaskFill (java.desktop@11.0.2)
 291:            40           2240  adams.core.option.FloatOption
 292:            70           2240  sun.java2d.loops.SurfaceType (java.desktop@11.0.2)
 293:            92           2208  adams.env.Setup
 294:            92           2208  javax.swing.event.SwingPropertyChangeSupport (java.desktop@11.0.2)
 295:            55           2200  java.io.FileDescriptor (java.base@11.0.2)
 296:            11           2184  [Ljava.lang.reflect.Field; (java.base@11.0.2)
 297:            68           2176  javax.swing.border.EmptyBorder (java.desktop@11.0.2)
 298:            30           2160  javax.swing.text.PlainDocument (java.desktop@11.0.2)
 299:           133           2128  java.util.ImmutableCollections$ListN (java.base@11.0.2)
 300:            38           2128  javax.swing.TransferHandler$SwingDropTarget (java.desktop@11.0.2)
 301:            53           2120  sun.security.util.NamedCurve (java.base@11.0.2)
 302:            66           2112  java.lang.invoke.LambdaForm$Kind (java.base@11.0.2)
 303:            22           2112  javax.swing.plaf.basic.BasicListUI (java.desktop@11.0.2)
 304:           131           2096  java.lang.ref.ReferenceQueue$Lock (java.base@11.0.2)
 305:            65           2080  javax.swing.plaf.basic.BasicScrollBarUI$TrackListener (java.desktop@11.0.2)
 306:            37           2072  javax.swing.ScrollPaneLayout$UIResource (java.desktop@11.0.2)
 307:            43           2064  java.lang.invoke.BoundMethodHandle$SpeciesData (java.base@11.0.2)
 308:            86           2064  java.util.AbstractMap$SimpleImmutableEntry (java.base@11.0.2)
 309:             5           2040  com.googlecode.jfilechooserbookmarks.gui.BaseList
 310:           126           2016  java.util.concurrent.locks.ReentrantLock (java.base@11.0.2)
 311:             4           2016  javax.swing.JFormattedTextField (java.desktop@11.0.2)
 312:           126           2016  sun.java2d.StateTrackableDelegate$1 (java.desktop@11.0.2)
 313:             5           2000  adams.gui.chooser.FileChooserBookmarksPanel
 314:            25           2000  javax.swing.text.FieldView (java.desktop@11.0.2)
