"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"294556825511137282","","","2013-01-24 21:26:34 +0000","<a href=""https://adams.cms.waikato.ac.nz/"" rel=""nofollow"">ADAMS elgg</a>","Just added a new video on how to use the new flow execution listeners: http://t.co/SOkJLmfl","","","","http://www.youtube.com/watch?v=PpEEdn_vcOs"
"294545401812512769","","","2013-01-24 20:41:10 +0000","<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","I added a video to a @YouTube playlist http://t.co/kJmAkuDN Flow Execution Listeners","","","","http://youtu.be/PpEEdn_vcOs?a"
"294545279456268288","","","2013-01-24 20:40:41 +0000","<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","Flow Execution Listeners: http://t.co/kJmAkuDN via @YouTube","","","","http://youtu.be/PpEEdn_vcOs?a"
"293181994764992512","","","2013-01-21 02:23:29 +0000","<a href=""https://adams.cms.waikato.ac.nz/"" rel=""nofollow"">ADAMS elgg</a>","The new flow execution listeners allow you to monitor a flow more closely, eg how much time an actor consumed or how often it got executed.","","","",""
"288470767711170560","","","2013-01-08 02:22:45 +0000","<a href=""https://adams.cms.waikato.ac.nz/"" rel=""nofollow"">ADAMS elgg</a>","Added interactive SelectDateTime source actor, allowing user to choose date/time, date or time.","","","",""
"281528796706922496","","","2012-12-19 22:37:50 +0000","<a href=""https://adams.cms.waikato.ac.nz/"" rel=""nofollow"">ADAMS elgg</a>","Just in time for Xmas, a new release of ADAMS: 0.4.1 - you can get it from here: https://t.co/kpODNAIk","","","","https://adams.cms.waikato.ac.nz/downloads"
"281498390456569856","","","2012-12-19 20:37:00 +0000","<a href=""https://adams.cms.waikato.ac.nz/"" rel=""nofollow"">ADAMS elgg</a>","With new built-in sqlite support, you can now import multiple spreadsheets into DB, create joins and export new spreadsheets. On-the-fly!","","","",""
"279130329854394368","","","2012-12-13 07:47:11 +0000","<a href=""https://adams.cms.waikato.ac.nz/"" rel=""nofollow"">ADAMS elgg</a>","The Spreadsheet file viewer now allows you to apply spreadsheet-specific transformers","","","",""
"279079304153944064","","","2012-12-13 04:24:25 +0000","<a href=""https://adams.cms.waikato.ac.nz/"" rel=""nofollow"">ADAMS elgg</a>","Another spreadsheet overhaul for faster processing and higher memory efficiency: https://t.co/YUleAhtQ","","","","https://adams.cms.waikato.ac.nz/elgg/blog/view/363"
"277978534213992448","","","2012-12-10 03:30:21 +0000","<a href=""https://adams.cms.waikato.ac.nz/"" rel=""nofollow"">ADAMS elgg</a>","Fixed bug in GOE editor class adams.gui.goe.FileEditor: ""Select"" action got ignored. https://t.co/af6EBsKE","","","","https://adams.cms.waikato.ac.nz/bugs/view.php?id=95"
"277978015433121792","","","2012-12-10 03:28:18 +0000","<a href=""https://adams.cms.waikato.ac.nz/"" rel=""nofollow"">ADAMS elgg</a>","SpreadSheet objects use different internal representation now in order to conserve memory.","","","",""
"273645051740033024","","","2012-11-28 04:30:39 +0000","<a href=""https://adams.cms.waikato.ac.nz/"" rel=""nofollow"">ADAMS elgg</a>","The AggregateSpreadSheet conversion of the adams-spreadsheet module lets you generate aggregates of rows, like sum, average, stdev.","","","",""
"272927484385824768","","","2012-11-26 04:59:17 +0000","<a href=""https://adams.cms.waikato.ac.nz/"" rel=""nofollow"">ADAMS elgg</a>","FFmpeg wrapper now available from the adams-imaging module. E.g., you can create movies from (enumerated) screenshots using this actor.","","","",""
"271458081400041472","","","2012-11-22 03:40:24 +0000","<a href=""https://adams.cms.waikato.ac.nz/"" rel=""nofollow"">ADAMS elgg</a>","Spreadsheet support has been extended to support date/time. Viewer tool can filter data now.","","","",""
"266984521025593344","","","2012-11-09 19:24:04 +0000","<a href=""https://adams.cms.waikato.ac.nz/"" rel=""nofollow"">ADAMS elgg</a>","The adams-moa module now has an additional tutorial on using MOA and ADAMS, thanks to Albert Bifet.","","","",""
"266750139249606657","","","2012-11-09 03:52:43 +0000","<a href=""https://adams.cms.waikato.ac.nz/"" rel=""nofollow"">ADAMS elgg</a>","Added transformer for sorting spreadsheets: SpreadSheetSort. Can use arbitrary number of columns, descending or ascending.","","","",""
"266650860958928898","","","2012-11-08 21:18:14 +0000","<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","I added a video to a @YouTube playlist http://t.co/42r3DmFQ Cross-validating a classifier","","","","http://youtu.be/56Y97zIWsow?a"
"266650807045332992","","","2012-11-08 21:18:01 +0000","<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","I added a video to a @YouTube playlist http://t.co/h8MpGqTS Hello World","","","","http://youtu.be/FRNQhPSHJ1I?a"
"266649030250078208","","","2012-11-08 21:10:57 +0000","<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","I uploaded a @YouTube video http://t.co/42r3DmFQ Cross-validating a classifier","","","","http://youtu.be/56Y97zIWsow?a"
"266368668663939072","","","2012-11-08 02:36:54 +0000","<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","I uploaded a @YouTube video http://t.co/h8MpGqTS Hello World","","","","http://youtu.be/FRNQhPSHJ1I?a"
"266008142691852288","","","2012-11-07 02:44:18 +0000","<a href=""https://adams.cms.waikato.ac.nz/"" rel=""nofollow"">ADAMS elgg</a>","More spreadsheet support: SpreadSheetRemoveRow/Column for removing rows/cols, SpreadSheetDifference for difference between spreadsheets.","","","",""
"265563103557726208","","","2012-11-05 21:15:52 +0000","<a href=""https://adams.cms.waikato.ac.nz/"" rel=""nofollow"">ADAMS elgg</a>","Basic heat map support just got added: adams-heatmap","","","",""
